,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,early-morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,high,False,False,False,med,normal,low
1,1,0,early-morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,high,False,False,False,med,normal,low
2,2,0,early-morning,unknown,unknown,low,low,False,False,False,med,normal,low
3,3,0,morning,unknown,unknown,low,medium,False,False,False,med,normal,low
4,4,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,medium,False,False,False,med,normal,low
5,5,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,medium,False,False,False,med,normal,low
6,6,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
7,7,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,high,False,False,False,med,normal,low
8,8,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
9,9,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,low,False,False,False,med,normal,low
10,10,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
11,11,0,morning,unknown,unknown,low,medium,False,False,False,near,normal,low
12,12,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
13,13,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
14,14,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
15,15,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,low,False,False,False,med,normal,low
16,16,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
17,17,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,low,False,False,False,med,normal,low
18,18,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,high,False,False,False,med,normal,low
19,19,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
20,20,0,morning,unknown,unknown,low,medium,False,False,False,med,normal,low
21,21,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,low,False,False,False,med,normal,low
22,22,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
23,23,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
24,24,0,morning,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,medium,False,False,False,med,normal,low
25,25,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
26,26,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
27,27,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
28,28,0,morning,TYPE_BAKERY TYPE_BAR TYPE_BAR TYPE_AMUSEMENT_PARK TYPE_BANK TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,low,False,False,False,med,normal,low
29,29,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
30,30,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
31,31,0,morning,unknown,unknown,low,medium,False,False,False,med,normal,low
32,32,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
33,33,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
34,34,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
35,35,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
