,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,still,low,low,False,False,False,90.973875,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,471.589591,vibrate,380.615716,True,over a week ago,2019-02-18 03:40:42.195034,2019-02-18 03:48:33.784625
1,1,unknown,low,low,False,False,False,102.635094,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,near,1472.131689,silent,1369.496595,False,within 24 hours,2019-02-18 05:03:49.474981,2019-02-18 05:28:21.606670
2,2,unknown,low,low,False,False,False,49.339538,False,low,False,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,926.336575,normal,876.997037,False,within 24 hours,2019-02-18 05:41:46.422185,2019-02-18 05:57:12.758760
3,3,unknown,low,low,False,False,False,45.822797,False,low,False,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,68.643522,normal,22.820725,True,over a week ago,2019-02-18 06:00:51.186192,2019-02-18 06:01:59.829714
4,4,unknown,low,low,False,False,False,59.67655,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,1084.368991,normal,1024.692441,True,over a week ago,2019-02-18 06:01:41.348417,2019-02-18 06:19:45.717408
5,5,unknown,low,low,False,False,False,35.308688,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,1015.900818,normal,980.59213,False,within 24 hours,2019-02-18 06:06:12.527108,2019-02-18 06:23:08.427926
6,6,still,low,low,False,True,True,221.632831,False,low,False,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,254.300549,normal,32.667718,True,over a week ago,2019-02-18 06:15:15.559363,2019-02-18 06:19:29.859912
7,7,unknown,low,low,False,False,False,49.160341,False,low,False,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,768.830961,normal,719.67062,True,over a week ago,2019-02-18 06:21:01.556950,2019-02-18 06:33:50.387911
8,8,still,low,low,False,True,False,102.51695,False,low,False,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,146.408066,normal,43.891116,True,over a week ago,2019-02-18 06:27:15.133503,2019-02-18 06:29:41.541569
9,9,unknown,low,low,False,True,True,22.249757,False,low,False,TYPE_BANK TYPE_AQUARIUM TYPE_ATM TYPE_ATM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,73.907996,normal,51.658239,True,over a week ago,2019-02-18 06:28:18.563794,2019-02-18 06:29:32.471790
