,id,appPackage,category,numberUpdates,subject,priority,ongoing,visibility
0,0,com.intermedia.hq,msg,none,arts & entertainment,high,False,private
1,1,com.twitter.android,unknown,none,unknown,default,False,private
2,2,com.google.android.googlequicksearchbox,unknown,none,unknown,high,False,private
3,3,io.wia.wia,unknown,none,unknown,default,False,private
4,4,com.bskyb.sportnews,unknown,none,unknown,high,False,public
5,5,com.bskyb.sportnews,unknown,none,unknown,default,False,public
6,6,com.whatsapp,service,low,unknown,high,False,private
7,7,com.google.android.gm,email,none,unknown,default,False,private
8,8,com.whatsapp,msg,none,unknown,default,False,private
9,9,com.Slack,email,none,unknown,high,False,private
10,10,com.whatsapp,unknown,low,unknown,default,False,private
11,11,io.wia.wia,unknown,none,unknown,default,False,private
12,12,io.wia.wia,unknown,low,unknown,default,False,private
13,13,com.whatsapp,unknown,medium,unknown,default,False,private
14,14,io.wia.wia,unknown,none,unknown,default,False,private
15,15,bbc.mobile.news.ww,unknown,none,unknown,default,False,private
16,16,com.whatsapp,unknown,none,unknown,default,False,private
17,17,com.Slack,email,none,unknown,default,False,private
18,18,com.Slack,email,none,unknown,default,False,private
19,19,com.whatsapp,unknown,low,unknown,min,False,private
20,20,com.facebook.orca,unknown,none,unknown,high,False,public
21,21,fm.castbox.audiobook.radio.podcast,unknown,none,unknown,default,False,private
22,22,com.whatsapp,service,low,unknown,min,False,private
23,23,com.whatsapp,unknown,none,unknown,default,False,private
24,24,com.google.android.gm,email,none,unknown,default,False,private
25,25,com.whatsapp,msg,none,unknown,high,False,private
26,26,com.whatsapp,unknown,low,unknown,min,False,private
27,27,com.whatsapp,msg,low,unknown,default,False,private
28,28,com.facebook.orca,unknown,none,unknown,default,False,private
29,29,com.whatsapp,unknown,low,unknown,min,False,private
30,30,io.wia.wia,unknown,none,unknown,default,False,private
31,31,com.google.android.gm,unknown,none,unknown,default,False,private
32,32,com.whatsapp,unknown,low,unknown,min,False,private
33,33,com.whatsapp,unknown,low,unknown,min,False,private
34,34,io.wia.wia,unknown,none,unknown,default,False,private
35,35,com.facebook.orca,unknown,low,unknown,min,False,private
36,36,com.whatsapp,service,low,unknown,default,False,private
37,37,io.wia.wia,unknown,none,unknown,default,False,private
38,38,com.Slack,unknown,none,unknown,default,False,private
39,39,com.whatsapp,msg,low,unknown,high,False,private
40,40,com.google.android.gm,unknown,none,unknown,default,False,private
41,41,com.whatsapp,unknown,medium,unknown,default,False,private
42,42,com.whatsapp,service,low,unknown,high,False,private
43,43,com.facebook.orca,unknown,none,arts & entertainment,high,False,private
44,44,com.twitter.android,unknown,none,unknown,default,False,private
45,45,com.google.android.gm,unknown,none,unknown,default,False,private
46,46,com.whatsapp,unknown,none,unknown,default,False,private
47,47,io.wia.wia,unknown,none,unknown,default,False,private
48,48,com.bumble.app,unknown,low,unknown,min,False,private
49,49,com.google.android.gm,unknown,none,unknown,default,False,private
50,50,com.whatsapp,msg,none,unknown,high,False,private
51,51,com.whatsapp,service,medium,unknown,default,False,private
52,52,io.wia.wia,unknown,none,unknown,default,False,private
53,53,io.wia.wia,unknown,none,unknown,default,False,private
54,54,com.google.android.gm,email,none,unknown,default,False,private
55,55,com.google.android.gm,unknown,none,unknown,low,False,private
56,56,io.wia.wia,msg,none,unknown,high,False,private
57,57,com.whatsapp,unknown,low,unknown,default,False,private
58,58,com.google.android.gm,email,none,unknown,default,False,private
59,59,com.whatsapp,service,low,unknown,high,False,private
60,60,com.twitter.android,unknown,none,unknown,default,False,private
61,61,io.wia.wia,unknown,none,unknown,default,False,private
62,62,com.bskyb.sportnews,unknown,none,unknown,default,False,public
63,63,io.wia.wia,unknown,low,unknown,default,False,private
64,64,com.whatsapp,unknown,low,unknown,min,False,private
65,65,com.google.android.gm,email,none,unknown,default,False,private
66,66,com.facebook.orca,unknown,low,unknown,min,False,private
67,67,com.whatsapp,service,low,unknown,high,False,private
68,68,io.wia.wia,unknown,none,unknown,high,False,public
69,69,ie.rte.news,unknown,none,arts & entertainment,high,False,private
70,70,com.google.android.gm,msg,none,unknown,default,False,private
71,71,io.wia.wia,unknown,none,unknown,default,False,private
72,72,io.wia.wia,msg,none,unknown,default,False,private
73,73,com.Slack,email,none,unknown,high,False,private
74,74,com.google.android.gm,email,none,unknown,default,False,private
75,75,com.whatsapp,unknown,none,unknown,default,False,private
76,76,com.bumble.app,unknown,none,unknown,high,False,private
77,77,com.twitter.android,unknown,none,unknown,default,False,private
78,78,com.google.android.gm,email,none,unknown,default,False,private
79,79,com.Slack,unknown,none,unknown,default,False,private
80,80,io.wia.wia,msg,none,unknown,default,False,private
81,81,io.wia.wia,unknown,none,unknown,default,False,private
82,82,io.wia.wia,unknown,none,unknown,default,False,private
83,83,io.wia.wia,msg,none,unknown,default,False,private
84,84,com.facebook.orca,unknown,none,unknown,default,False,private
85,85,com.facebook.orca,unknown,none,arts & entertainment,max,False,private
86,86,io.wia.wia,email,none,arts & entertainment,default,False,private
87,87,com.facebook.orca,unknown,none,unknown,default,False,private
88,88,com.bskyb.sportnews,alarm,none,unknown,default,False,public
89,89,com.google.android.gm,unknown,none,unknown,default,False,private
90,90,io.wia.wia,unknown,none,unknown,default,False,private
91,91,bbc.mobile.news.ww,unknown,none,unknown,default,False,private
92,92,io.wia.wia,msg,none,unknown,default,False,private
93,93,com.facebook.orca,unknown,none,unknown,default,False,private
94,94,io.wia.wia,unknown,none,unknown,default,False,private
95,95,com.google.android.gm,msg,none,unknown,default,False,private
96,96,com.google.android.gm,unknown,none,unknown,default,False,private
97,97,com.google.android.gm,msg,none,unknown,default,False,private
98,98,com.google.android.gm,unknown,none,unknown,default,False,private
99,99,com.google.android.gm,unknown,none,unknown,default,False,private
100,100,com.google.android.gm,email,none,unknown,default,False,private
101,101,io.wia.wia,unknown,low,unknown,default,False,private
102,102,io.wia.wia,unknown,none,unknown,default,False,private
103,103,com.facebook.orca,unknown,none,unknown,default,False,private
104,104,com.google.android.gm,unknown,none,unknown,high,False,private
105,105,com.whatsapp,msg,low,arts & entertainment,min,False,private
106,106,com.google.android.gm,email,none,unknown,default,False,private
107,107,com.whatsapp,unknown,low,unknown,default,False,private
108,108,io.wia.wia,unknown,none,unknown,default,False,private
109,109,com.google.android.gm,unknown,none,unknown,default,False,private
110,110,com.facebook.orca,unknown,none,unknown,default,False,private
111,111,com.facebook.orca,unknown,none,unknown,default,False,private
112,112,com.facebook.orca,unknown,none,unknown,min,False,public
