,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
1,1,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
2,2,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
3,3,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
4,4,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
5,5,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
6,6,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
7,7,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
8,8,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
9,9,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
10,10,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
11,11,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
12,12,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
13,13,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
14,14,0,afternoon,unknown,unknown,unknown,unknown,False,False,True,unknown,unknown,unknown
15,15,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
16,16,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
17,17,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
18,18,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
19,19,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
20,20,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
21,21,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
22,22,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
23,23,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
24,24,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
25,25,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
26,26,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
27,27,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
28,28,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
29,29,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
30,30,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
31,31,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
32,32,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
33,33,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
34,34,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
35,35,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
36,36,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
37,37,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
38,38,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
39,39,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
40,40,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
41,41,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
42,42,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
43,43,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
44,44,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
45,45,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
46,46,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
47,47,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
48,48,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
49,49,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
50,50,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
51,51,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
52,52,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
53,53,0,evening,unknown,unknown,medium,unknown,False,False,False,unknown,unknown,unknown
