,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,unknown,low,medium,True,False,False,221.155079,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,238.612701,vibrate,17.457622,False,within 24 hours,2019-02-18 06:16:38.550250,2019-02-18 06:20:37.162951
1,1,unknown,low,high,False,False,False,37.37349,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,39.246118,vibrate,1.872628,False,over a week ago,2019-02-18 12:03:43.213871,2019-02-18 12:04:22.459989
2,2,unknown,low,high,False,False,False,88.920116,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,139.499155,vibrate,50.579039,True,over a week ago,2019-02-18 12:07:47.105921,2019-02-18 12:10:06.605076
3,3,unknown,low,medium,False,False,False,45.801827,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,66.985378,vibrate,21.183551,False,over a week ago,2019-02-18 12:11:18.966271,2019-02-18 12:12:25.951649
4,4,unknown,low,medium,False,False,False,68.541969,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,109.570248,vibrate,41.028279,False,over a week ago,2019-02-18 12:16:54.071837,2019-02-18 12:18:43.642085
5,5,unknown,low,high,False,False,False,29.711085,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,83.346095,vibrate,53.63501,False,over a week ago,2019-02-18 12:35:29.808012,2019-02-18 12:36:53.154107
6,6,unknown,low,low,False,False,False,10.832351,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,50.286777,vibrate,39.454426,False,over a week ago,2019-02-18 12:52:28.142877,2019-02-18 12:53:18.429654
7,7,unknown,low,high,False,False,False,236.470709,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,249.349195,vibrate,12.878486,False,immediate,2019-02-18 12:54:22.184117,2019-02-18 12:58:31.533312
8,8,unknown,low,high,False,False,False,190.553286,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,214.334987,vibrate,23.781701,False,within 24 hours,2019-02-18 12:56:11.122453,2019-02-18 12:59:45.457440
9,9,unknown,low,high,False,False,False,189.525752,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,244.952844,vibrate,55.427092,False,within half hour,2019-02-18 12:57:30.049669,2019-02-18 13:01:35.002513
