,id,appPackage,category,numberUpdates,subject,priority,ongoing,visibility
0,0,com.whatsapp,msg,none,unknown,default,False,private
1,1,com.whatsapp,unknown,none,unknown,default,False,private
2,2,com.whatsapp,unknown,none,unknown,default,False,private
3,3,com.whatsapp,msg,none,unknown,default,False,private
4,4,com.whatsapp,unknown,none,unknown,default,False,private
5,5,com.whatsapp,email,none,unknown,default,False,private
6,6,com.whatsapp,unknown,none,unknown,default,False,private
7,7,com.whatsapp,unknown,none,unknown,default,False,private
8,8,com.whatsapp,unknown,none,unknown,default,False,private
9,9,com.google.android.gm,unknown,none,unknown,default,False,private
10,10,com.whatsapp,unknown,none,unknown,default,False,private
11,11,com.whatsapp,email,none,unknown,default,False,private
12,12,com.whatsapp,email,high,unknown,default,False,private
13,13,com.whatsapp,unknown,none,unknown,default,False,private
14,14,com.whatsapp,msg,none,unknown,default,False,private
15,15,com.whatsapp,unknown,none,unknown,default,False,private
16,16,com.whatsapp,unknown,none,unknown,default,False,private
17,17,com.google.android.gm,unknown,none,unknown,default,False,private
18,18,com.whatsapp,unknown,none,unknown,default,False,private
19,19,com.whatsapp,email,none,unknown,default,False,private
20,20,com.whatsapp,email,none,unknown,default,False,private
21,21,com.whatsapp,unknown,none,unknown,default,False,private
22,22,com.whatsapp,unknown,none,unknown,default,False,private
23,23,com.whatsapp,unknown,none,unknown,default,False,private
24,24,com.whatsapp,unknown,none,unknown,default,False,private
25,25,com.whatsapp,unknown,none,unknown,default,False,private
26,26,com.google.android.gm,unknown,none,unknown,default,False,private
27,27,com.whatsapp,unknown,none,unknown,default,False,private
28,28,com.whatsapp,unknown,none,unknown,default,False,private
29,29,com.whatsapp,email,none,unknown,default,False,private
30,30,com.whatsapp,unknown,none,unknown,default,False,private
31,31,com.whatsapp,unknown,none,unknown,default,False,private
32,32,com.whatsapp,unknown,none,unknown,default,False,private
33,33,com.whatsapp,unknown,none,unknown,default,False,private
34,34,com.whatsapp,unknown,none,unknown,default,False,private
35,35,com.google.android.gm,unknown,none,unknown,default,False,private
36,36,com.whatsapp,unknown,none,unknown,default,False,private
37,37,com.whatsapp,unknown,none,unknown,default,False,private
38,38,com.whatsapp,unknown,none,unknown,default,False,private
39,39,com.whatsapp,unknown,none,unknown,default,False,private
40,40,com.whatsapp,email,none,unknown,default,False,private
41,41,com.google.android.gm,unknown,none,unknown,default,False,private
