,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
1,1,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
2,2,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
3,3,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
4,4,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
5,5,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,low
6,6,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
7,7,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
8,8,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
9,9,0,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,vibrate,unknown
10,10,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
11,11,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
12,12,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
13,13,1,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
14,14,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
15,15,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
16,16,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
17,17,1,morning,unknown,still,unknown,unknown,False,False,False,unknown,unknown,unknown
18,18,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
19,19,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
20,20,1,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
21,21,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
22,22,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
23,23,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
24,24,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
25,25,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
26,26,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
27,27,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
28,28,1,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
29,29,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
30,30,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
31,31,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
32,32,1,morning,unknown,still,unknown,unknown,False,False,False,unknown,unknown,low
33,33,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
34,34,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
35,35,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
36,36,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
37,37,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
38,38,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
39,39,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
40,40,1,morning,unknown,unknown,low,unknown,False,False,False,med,unknown,unknown
41,41,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
42,42,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
43,43,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
44,44,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
45,45,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
46,46,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
47,47,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
48,48,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
49,49,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
50,50,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
51,51,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
52,52,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
53,53,1,afternoon,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
54,54,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
55,55,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
56,56,1,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
57,57,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
58,58,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
59,59,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
60,60,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
61,61,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
62,62,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
63,63,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
64,64,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
65,65,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
66,66,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
67,67,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
68,68,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
69,69,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
70,70,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
71,71,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
72,72,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
