,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,still,low,medium,False,False,False,24.195807,False,low,False,unknown,med,58.859542,vibrate,34.663735,True,over a week ago,2019-02-18 06:11:41.964847,2019-02-18 06:12:40.824389
1,1,unknown,low,medium,False,False,False,843.228616,False,low,False,unknown,med,892.475267,vibrate,49.246651,True,over a week ago,2019-02-18 06:15:29.548408,2019-02-18 06:30:22.023675
2,2,still,low,medium,False,False,False,210.420684,False,low,False,unknown,near,246.999118,vibrate,36.578434,True,over a week ago,2019-02-18 06:40:57.066470,2019-02-18 06:45:04.065588
3,3,still,low,medium,False,False,False,174.034267,False,low,False,unknown,near,175.048579,normal,1.014312,True,over a week ago,2019-02-18 07:39:39.941171,2019-02-18 07:42:34.989750
4,4,unknown,low,medium,False,False,False,1744.862301,False,low,False,unknown,med,1759.116349,vibrate,14.254048,True,over a week ago,2019-02-18 08:01:48.790352,2019-02-18 08:31:07.906701
5,5,still,low,low,False,False,False,46.617809,False,low,False,unknown,med,1674.594744,vibrate,1627.976935,True,over a week ago,2019-02-18 09:24:32.881608,2019-02-18 09:52:27.476352
6,6,still,low,medium,False,False,False,2136.416157,False,low,False,unknown,med,2149.908539,vibrate,13.492382,True,over a week ago,2019-02-18 10:18:57.087575,2019-02-18 10:54:46.996114
7,7,still,low,low,False,False,False,3109.005655,False,low,False,unknown,med,3129.734443,normal,20.728788,True,over a week ago,2019-02-18 11:26:47.271664,2019-02-18 12:18:57.006107
8,8,still,low,medium,False,False,False,2390.892354,False,low,False,unknown,med,2427.640939,vibrate,36.748585,True,over a week ago,2019-02-18 11:55:55.062098,2019-02-18 12:36:22.703037
9,9,still,low,medium,False,False,False,44.865446,False,low,False,unknown,near,87.225049,vibrate,42.359603,True,over a week ago,2019-02-18 14:14:26.843389,2019-02-18 14:15:54.068438
10,10,still,low,high,False,False,False,79.084946,False,low,False,unknown,med,123.006066,normal,43.92112,True,over a week ago,2019-02-18 15:39:11.475452,2019-02-18 15:41:14.481518
11,11,still,low,medium,False,False,False,12.481457,False,low,False,unknown,med,72.054031,vibrate,59.572574,True,over a week ago,2019-02-18 18:12:10.997352,2019-02-18 18:13:23.051383
12,12,unknown,low,high,False,False,False,1611.077189,False,low,False,unknown,med,1658.806387,vibrate,47.729198,True,over a week ago,2019-02-19 06:16:13.028623,2019-02-19 06:43:51.835010
13,13,foot walking,low,high,False,False,False,1697.86386,False,low,False,unknown,med,3357.096929,vibrate,1659.233069,True,over a week ago,2019-02-19 06:27:53.824201,2019-02-19 07:23:50.921130
14,14,foot walking,low,medium,False,False,False,32.958856,False,low,False,unknown,near,90.940368,vibrate,57.981512,True,over a week ago,2019-02-19 06:29:06.635869,2019-02-19 06:30:37.576237
15,15,still,low,medium,False,False,False,3460.3653,False,low,False,unknown,near,3503.306252,vibrate,42.940952,True,over a week ago,2019-02-19 06:51:30.971416,2019-02-19 07:49:54.277668
16,16,still,low,medium,False,False,False,288.157888,False,low,False,unknown,med,306.587937,vibrate,18.430049,True,over a week ago,2019-02-19 06:53:09.879620,2019-02-19 06:58:16.467557
17,17,foot walking,low,high,False,False,False,2572.791343,False,low,False,unknown,med,2893.376795,vibrate,320.585452,True,over a week ago,2019-02-19 06:56:10.374564,2019-02-19 07:44:23.751359
18,18,still,low,medium,False,False,False,87.799472,False,low,False,unknown,med,104.242938,vibrate,16.443466,True,over a week ago,2019-02-19 06:59:00.116606,2019-02-19 07:00:44.359544
19,19,still,low,medium,False,False,False,76.421062,False,low,False,unknown,med,114.798416,vibrate,38.377354,True,over a week ago,2019-02-19 06:59:51.407033,2019-02-19 07:01:46.205449
20,20,still,low,low,False,False,False,1996.821253,False,low,False,unknown,med,2042.423845,vibrate,45.602592,True,over a week ago,2019-02-19 07:07:19.637085,2019-02-19 07:41:22.060930
21,21,still,low,medium,False,False,False,189.28389,False,low,False,unknown,near,218.305319,vibrate,29.021429,True,over a week ago,2019-02-19 07:14:36.094808,2019-02-19 07:18:14.400127
22,22,still,low,medium,False,False,False,19.161545,False,low,False,unknown,med,36.617704,vibrate,17.456159,True,over a week ago,2019-02-19 07:21:08.918995,2019-02-19 07:21:45.536699
23,23,still,low,medium,False,False,False,236.441524,False,low,False,unknown,med,289.132643,vibrate,52.691119,True,over a week ago,2019-02-19 07:28:04.504904,2019-02-19 07:32:53.637547
24,24,still,low,medium,False,False,False,1898.65171,False,low,False,unknown,med,1918.177634,vibrate,19.525924,True,over a week ago,2019-02-19 07:38:32.847536,2019-02-19 08:10:31.025170
