,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
1,1,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
2,2,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
3,3,0,morning,unknown,still,low,medium,False,False,False,med,unknown,unknown
4,4,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
5,5,0,morning,unknown,unknown,unknown,low,False,False,False,unknown,unknown,unknown
6,6,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
7,7,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
8,8,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
9,9,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,unknown,False,False,False,med,unknown,low
10,10,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
11,11,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,low,False,False,False,unknown,unknown,low
12,12,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
13,13,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
14,14,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
15,15,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
16,16,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
17,17,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
18,18,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
19,19,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,silent,unknown
20,20,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,silent,unknown
21,21,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
22,22,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
23,23,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
24,24,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,silent,unknown
25,25,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,med,silent,unknown
26,26,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
27,27,0,evening,unknown,still,low,unknown,False,False,False,unknown,silent,low
28,28,0,evening,unknown,still,low,unknown,False,False,False,med,unknown,low
29,29,0,evening,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
30,30,0,evening,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
31,31,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,silent,unknown
32,32,0,evening,unknown,still,low,unknown,False,False,False,unknown,unknown,low
33,33,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
34,34,1,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,low
35,35,1,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
36,36,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,silent,unknown
37,37,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
38,38,1,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
39,39,2,early-morning,unknown,unknown,unknown,unknown,False,False,False,unknown,silent,unknown
40,40,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
41,41,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
42,42,2,morning,unknown,still,low,unknown,False,False,False,med,unknown,low
43,43,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
44,44,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
45,45,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
46,46,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
47,47,2,morning,unknown,still,low,unknown,False,False,False,unknown,unknown,low
48,48,2,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
49,49,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
50,50,2,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
51,51,2,evening,unknown,unknown,unknown,unknown,False,False,False,med,silent,unknown
52,52,2,evening,unknown,unknown,unknown,low,False,False,False,unknown,silent,unknown
53,53,2,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
54,54,2,evening,unknown,unknown,unknown,unknown,False,False,False,med,silent,unknown
55,55,2,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
56,56,2,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,silent,unknown
57,57,2,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
58,58,2,evening,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
59,59,2,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
60,60,2,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
61,61,2,night,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
62,62,2,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
63,63,2,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
64,64,2,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
65,65,2,night,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
