,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,unknown,low,low,False,False,False,25.684864,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,27.780643,silent,2.095779,True,over a week ago,2019-02-18 06:02:26.307535,2019-02-18 06:02:54.088178
1,1,unknown,low,low,False,False,False,28.027735,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,46.428771,silent,18.401036,True,over a week ago,2019-02-18 06:17:58.606036,2019-02-18 06:18:45.034807
2,2,unknown,low,low,False,False,False,6.739928,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,27.52714,silent,20.787212,True,over a week ago,2019-02-18 06:25:25.519089,2019-02-18 06:25:53.046229
3,3,still,low,medium,False,False,False,114.614681,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,126.593864,silent,11.979183,True,over a week ago,2019-02-18 06:25:49.846337,2019-02-18 06:27:56.440201
4,4,still,low,medium,False,False,False,35.453304,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,36.528997,silent,1.075693,True,over a week ago,2019-02-18 06:47:25.755474,2019-02-18 06:48:02.284471
5,5,still,low,low,False,False,False,9.56263,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,40.078867,silent,30.516237,True,over a week ago,2019-02-18 06:59:42.509818,2019-02-18 07:00:22.588685
6,6,still,low,low,False,False,False,4.668382,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,59.733051,silent,55.064669,False,over a week ago,2019-02-18 07:47:30.497821,2019-02-18 07:48:30.230872
7,7,still,low,low,False,False,False,22.679346,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,45.286825,silent,22.607479,False,over a week ago,2019-02-18 07:50:52.386248,2019-02-18 07:51:37.673073
8,8,still,low,medium,False,False,False,157.043295,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,173.602489,silent,16.559194,True,over a week ago,2019-02-18 07:51:48.478776,2019-02-18 07:54:42.081265
9,9,still,low,medium,False,False,False,279.820664,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,326.113742,silent,46.293078,True,over a week ago,2019-02-18 08:10:17.305349,2019-02-18 08:15:43.419091
10,10,still,low,low,False,False,False,59.999712,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,115.07064,silent,55.070928,False,over a week ago,2019-02-18 08:34:03.203491,2019-02-18 08:35:58.274131
11,11,still,low,low,False,False,False,25.388434,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,26.334598,silent,0.946164,False,over a week ago,2019-02-18 08:42:21.318689,2019-02-18 08:42:47.653287
12,12,still,low,low,False,False,False,34.315031,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,50.925697,silent,16.610666,True,within 24 hours,2019-02-18 08:53:29.764731,2019-02-18 08:54:20.690428
13,13,unknown,low,low,False,False,False,51.487072,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,95.508605,silent,44.021533,False,over a week ago,2019-02-18 09:11:08.603677,2019-02-18 09:12:44.112282
