,id,appPackage,category,numberUpdates,subject,priority,ongoing,visibility
0,0,org.thoughtcrime.securesms,unknown,low,unknown,default,False,private
1,1,com.spotify.music,unknown,low,unknown,default,False,private
2,2,com.google.android.apps.maps,unknown,low,unknown,default,False,public
3,3,com.google.android.googlequicksearchbox,msg,none,unknown,default,False,private
4,4,com.whatsapp,msg,none,unknown,high,False,private
5,5,com.spotify.music,unknown,medium,unknown,default,False,public
6,6,com.google.android.googlequicksearchbox,unknown,none,unknown,default,False,public
7,7,com.spotify.music,transport,low,unknown,high,False,private
8,8,com.google.android.googlequicksearchbox,unknown,none,unknown,default,False,private
9,9,com.google.android.deskclock,msg,none,unknown,default,False,public
10,10,com.google.android.googlequicksearchbox,unknown,low,unknown,high,False,private
11,11,org.thoughtcrime.securesms,unknown,high,unknown,default,False,public
12,12,com.google.android.googlequicksearchbox,unknown,low,unknown,high,False,public
13,13,com.google.android.deskclock,unknown,low,unknown,default,False,private
14,14,org.thoughtcrime.securesms,unknown,low,unknown,default,False,public
15,15,com.google.android.googlequicksearchbox,unknown,high,unknown,high,False,private
16,16,com.whatsapp,transport,low,unknown,default,False,private
17,17,com.whatsapp,transport,none,unknown,default,False,public
18,18,com.whatsapp,unknown,low,unknown,default,False,private
19,19,com.whatsapp,transport,low,unknown,min,False,private
20,20,com.google.android.googlequicksearchbox,unknown,none,unknown,high,False,private
21,21,com.whatsapp,unknown,low,unknown,high,False,private
22,22,com.google.android.googlequicksearchbox,unknown,low,unknown,default,False,public
23,23,org.thoughtcrime.securesms,unknown,low,unknown,default,False,public
24,24,com.google.android.googlequicksearchbox,unknown,none,unknown,high,False,private
25,25,org.thoughtcrime.securesms,transport,none,unknown,high,False,public
26,26,com.google.android.googlequicksearchbox,unknown,none,unknown,default,False,public
27,27,com.spotify.music,msg,none,unknown,default,False,public
28,28,com.google.android.deskclock,unknown,none,unknown,default,False,private
29,29,com.whatsapp,unknown,none,unknown,default,False,private
30,30,org.thoughtcrime.securesms,unknown,high,unknown,default,False,public
31,31,com.spotify.music,msg,low,unknown,default,False,private
32,32,com.spotify.music,unknown,none,unknown,high,False,private
33,33,com.google.android.googlequicksearchbox,unknown,none,unknown,default,False,public
34,34,com.spotify.music,msg,low,unknown,default,False,private
35,35,com.whatsapp,msg,none,unknown,default,False,public
36,36,org.thoughtcrime.securesms,unknown,none,unknown,high,False,private
37,37,org.thoughtcrime.securesms,transport,low,unknown,default,False,private
38,38,org.thoughtcrime.securesms,transport,low,unknown,high,False,private
39,39,com.android.chrome,unknown,none,unknown,default,False,private
40,40,com.whatsapp,unknown,low,unknown,high,False,private
41,41,com.whatsapp,unknown,none,unknown,default,False,private
42,42,com.whatsapp,unknown,none,unknown,default,False,private
43,43,com.whatsapp,msg,none,unknown,high,False,private
44,44,com.whatsapp,msg,low,unknown,default,False,private
45,45,com.whatsapp,unknown,low,unknown,high,False,private
46,46,com.whatsapp,transport,none,unknown,high,False,private
47,47,org.thoughtcrime.securesms,unknown,none,unknown,default,False,private
48,48,com.whatsapp,msg,none,unknown,default,False,private
49,49,com.whatsapp,msg,none,unknown,default,False,private
50,50,org.thoughtcrime.securesms,unknown,low,unknown,high,False,private
51,51,com.whatsapp,msg,low,unknown,high,False,private
52,52,com.whatsapp,unknown,none,unknown,high,False,private
53,53,com.whatsapp,unknown,none,unknown,default,False,private
54,54,com.whatsapp,msg,none,unknown,default,False,private
55,55,com.google.android.googlequicksearchbox,unknown,none,unknown,high,False,private
56,56,org.thoughtcrime.securesms,unknown,none,unknown,default,False,private
57,57,com.spotify.music,unknown,none,unknown,default,False,private
58,58,com.whatsapp,msg,low,unknown,high,False,private
59,59,com.spotify.music,unknown,low,unknown,high,False,private
60,60,com.whatsapp,unknown,low,unknown,high,False,private
61,61,com.whatsapp,msg,none,unknown,default,False,private
62,62,com.whatsapp,msg,none,unknown,high,False,private
63,63,com.whatsapp,unknown,none,unknown,high,False,private
64,64,com.spotify.music,transport,low,unknown,high,False,private
65,65,com.android.chrome,unknown,none,unknown,high,False,private
66,66,com.whatsapp,unknown,low,unknown,default,False,private
67,67,com.whatsapp,msg,none,unknown,default,False,private
68,68,org.thoughtcrime.securesms,msg,none,unknown,default,False,private
69,69,com.whatsapp,unknown,low,unknown,high,False,private
70,70,com.whatsapp,unknown,none,unknown,default,False,private
71,71,com.whatsapp,unknown,none,unknown,default,False,private
72,72,com.whatsapp,unknown,none,unknown,default,False,private
73,73,com.whatsapp,unknown,none,unknown,default,False,private
74,74,com.whatsapp,msg,none,unknown,high,False,private
75,75,com.whatsapp,unknown,none,unknown,default,False,private
76,76,com.whatsapp,msg,none,unknown,high,False,private
77,77,com.whatsapp,unknown,none,unknown,high,False,private
78,78,com.whatsapp,msg,none,unknown,high,False,private
79,79,com.whatsapp,unknown,none,unknown,high,False,private
80,80,com.whatsapp,msg,none,unknown,high,False,private
81,81,com.whatsapp,unknown,none,unknown,default,False,private
82,82,com.whatsapp,msg,low,unknown,default,False,private
83,83,com.whatsapp,unknown,none,unknown,default,False,private
84,84,com.whatsapp,unknown,none,unknown,default,False,private
85,85,com.whatsapp,unknown,low,unknown,default,False,private
86,86,com.whatsapp,unknown,none,unknown,default,False,private
87,87,com.whatsapp,unknown,none,unknown,high,False,private
88,88,com.whatsapp,unknown,none,unknown,high,False,private
89,89,com.whatsapp,msg,none,unknown,high,False,private
90,90,com.whatsapp,unknown,none,unknown,default,False,private
91,91,com.whatsapp,unknown,none,unknown,default,False,private
92,92,com.whatsapp,unknown,none,unknown,default,False,private
93,93,com.whatsapp,unknown,none,unknown,high,False,private
94,94,com.whatsapp,unknown,low,unknown,high,False,private
95,95,com.whatsapp,msg,none,unknown,high,False,private
96,96,com.whatsapp,unknown,none,unknown,default,False,private
97,97,com.whatsapp,msg,low,unknown,high,False,private
98,98,com.whatsapp,unknown,low,unknown,high,False,private
99,99,com.whatsapp,unknown,none,unknown,default,False,private
100,100,com.whatsapp,unknown,none,unknown,default,False,private
101,101,com.whatsapp,msg,low,unknown,high,False,private
102,102,com.whatsapp,unknown,none,unknown,high,False,private
103,103,com.whatsapp,msg,none,unknown,high,False,private
104,104,com.whatsapp,unknown,none,unknown,default,False,private
105,105,com.whatsapp,unknown,low,unknown,default,False,private
106,106,com.whatsapp,unknown,low,unknown,default,False,private
107,107,com.whatsapp,unknown,none,unknown,default,False,private
108,108,com.whatsapp,msg,none,unknown,default,False,private
109,109,com.whatsapp,unknown,none,unknown,high,False,private
110,110,com.whatsapp,msg,low,unknown,default,False,private
111,111,com.whatsapp,unknown,low,unknown,high,False,private
112,112,com.whatsapp,msg,low,unknown,default,False,private
113,113,com.whatsapp,msg,none,unknown,high,False,private
114,114,com.whatsapp,unknown,low,unknown,default,False,private
115,115,com.whatsapp,msg,none,unknown,high,False,private
116,116,com.whatsapp,msg,none,unknown,default,False,private
117,117,com.whatsapp,msg,none,unknown,default,False,private
118,118,com.whatsapp,msg,none,unknown,default,False,private
119,119,com.whatsapp,msg,none,unknown,default,False,private
120,120,com.whatsapp,msg,none,unknown,default,False,private
121,121,com.spotify.music,unknown,high,unknown,high,False,private
122,122,com.android.chrome,msg,none,unknown,high,False,public
123,123,com.whatsapp,unknown,none,unknown,default,False,private
124,124,com.whatsapp,unknown,none,unknown,default,False,private
125,125,com.google.android.googlequicksearchbox,unknown,none,unknown,high,False,private
126,126,com.google.android.apps.maps,unknown,none,unknown,high,False,private
127,127,com.spotify.music,unknown,none,unknown,default,False,private
128,128,com.android.chrome,transport,low,unknown,high,False,private
129,129,com.whatsapp,transport,none,unknown,min,False,private
130,130,com.google.android.googlequicksearchbox,unknown,none,unknown,high,False,private
131,131,com.whatsapp,unknown,low,unknown,default,False,public
132,132,org.thoughtcrime.securesms,unknown,low,unknown,default,False,public
133,133,com.android.chrome,transport,low,unknown,min,False,public
134,134,com.android.chrome,msg,none,unknown,min,False,private
135,135,org.thoughtcrime.securesms,unknown,low,unknown,default,False,public
136,136,com.google.android.googlequicksearchbox,unknown,none,unknown,default,False,private
