,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,unknown,unknown,low,low,False,False,False,med,vibrate,low
1,1,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,low,False,False,False,med,vibrate,low
2,2,0,morning,unknown,unknown,low,high,False,False,False,med,vibrate,low
3,3,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
4,4,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
5,5,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
6,6,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,low,False,False,False,med,vibrate,low
7,7,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
8,8,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
9,9,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,low,high,False,False,False,med,vibrate,low
10,10,0,morning,unknown,unknown,low,high,False,False,False,near,vibrate,low
11,11,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
12,12,0,morning,unknown,unknown,low,high,False,False,False,near,vibrate,low
13,13,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,low,False,False,False,med,vibrate,low
14,14,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
15,15,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
16,16,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,low,medium,False,False,False,near,vibrate,low
17,17,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
18,18,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
19,19,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,medium,False,False,False,med,vibrate,low
20,20,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,False,False,False,med,vibrate,low
21,21,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,low,high,False,False,False,near,vibrate,low
22,22,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,normal,unknown
23,23,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
24,24,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,False,False,True,near,vibrate,low
25,25,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
26,26,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
27,27,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
28,28,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,True,True,True,med,vibrate,low
29,29,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
30,30,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,True,True,True,med,vibrate,low
31,31,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,low,medium,False,False,False,med,vibrate,low
32,32,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
33,33,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
34,34,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,low,False,False,False,med,vibrate,low
35,35,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,True,True,True,med,vibrate,low
36,36,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,low,False,False,False,med,vibrate,low
37,37,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
38,38,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
39,39,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
40,40,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,False,False,False,near,vibrate,low
41,41,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
42,42,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
43,43,0,morning,unknown,unknown,unknown,unknown,False,False,False,near,unknown,low
44,44,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
45,45,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,high,False,False,False,med,vibrate,low
46,46,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
47,47,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
48,48,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
49,49,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
50,50,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,high,False,False,False,med,normal,low
51,51,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
52,52,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,medium,True,False,False,med,vibrate,low
53,53,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
54,54,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
55,55,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
56,56,0,morning,unknown,unknown,low,unknown,False,False,False,med,vibrate,low
57,57,0,morning,unknown,unknown,low,high,False,False,False,near,vibrate,low
58,58,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,still,low,high,False,False,False,med,vibrate,low
59,59,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
60,60,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
61,61,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
62,62,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
63,63,0,morning,unknown,unknown,low,high,False,False,False,med,vibrate,low
64,64,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
65,65,0,morning,unknown,unknown,low,low,False,False,False,unknown,unknown,unknown
66,66,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
67,67,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
68,68,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
69,69,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
70,70,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
71,71,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
72,72,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
73,73,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
74,74,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,False,False,False,near,vibrate,low
75,75,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,high,False,False,False,med,vibrate,low
76,76,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,low,True,False,False,med,vibrate,low
77,77,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
78,78,0,morning,TYPE_ACCOUNTING TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,high,False,False,False,near,vibrate,low
79,79,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
80,80,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,low,high,False,False,False,med,vibrate,low
81,81,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
82,82,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,high,False,False,False,med,vibrate,low
83,83,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,still,low,medium,False,False,False,near,vibrate,low
84,84,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
85,85,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
86,86,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
87,87,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
88,88,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
89,89,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
