,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,unknown,low,high,False,False,False,23.610555,True,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,34.526646,vibrate,10.916091,False,within 24 hours,2019-02-18 06:00:12.449532,2019-02-18 06:00:46.976178
1,1,still,low,high,False,False,False,46.796434,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,70.981632,vibrate,24.185198,False,within half hour,2019-02-18 06:04:38.776474,2019-02-18 06:05:49.758106
2,2,unknown,low,high,False,False,False,256.269464,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,279.658889,vibrate,23.389425,False,within 24 hours,2019-02-18 06:14:27.396890,2019-02-18 06:19:07.055779
3,3,still,low,high,False,False,False,622.900238,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,648.32089,vibrate,25.420652,False,immediate,2019-02-18 06:16:04.188983,2019-02-18 06:26:52.509873
4,4,still,low,high,False,False,False,193.55181,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,222.971562,vibrate,29.419752,False,within 24 hours,2019-02-18 06:26:26.865644,2019-02-18 06:30:09.837206
5,5,still,low,high,False,False,False,2683.694921,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,2739.199874,vibrate,55.504953,False,within hour,2019-02-18 06:35:08.848663,2019-02-18 07:20:48.048537
6,6,still,low,high,True,False,False,196.988622,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,217.634979,vibrate,20.646357,True,over a week ago,2019-02-18 06:36:57.460717,2019-02-18 06:40:35.095696
7,7,still,low,high,True,False,False,607.366425,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,666.475948,vibrate,59.109523,False,over a week ago,2019-02-18 06:38:03.515427,2019-02-18 06:49:09.991375
8,8,still,low,high,False,False,False,297.898948,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,349.28089,vibrate,51.381942,False,over a week ago,2019-02-18 06:38:43.496074,2019-02-18 06:44:32.776964
9,9,still,low,low,True,False,False,71.672826,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,90.444869,vibrate,18.772043,False,over a week ago,2019-02-18 06:39:52.422765,2019-02-18 06:41:22.867634
