,id,appPackage,category,numberUpdates,subject,priority,ongoing,visibility
0,0,com.samsung.android.sm,unknown,none,unknown,max,False,private
1,1,com.google.android.gm,email,none,unknown,default,False,private
2,2,com.google.android.gm,unknown,none,arts & entertainment,default,False,private
3,3,com.whatsapp,transport,low,unknown,high,False,public
4,4,com.whatsapp,unknown,low,unknown,default,False,private
5,5,com.google.android.gm,unknown,none,unknown,default,False,private
6,6,com.google.android.gm,unknown,none,business services,max,False,private
7,7,com.whatsapp,email,low,email & messaging,default,False,private
8,8,com.whatsapp,unknown,low,arts & entertainment,default,False,private
9,9,com.google.android.gm,email,none,unknown,default,False,private
10,10,com.google.android.gm,unknown,none,unknown,default,False,private
11,11,com.whatsapp,transport,low,unknown,default,False,public
12,12,com.google.android.gm,unknown,none,unknown,high,False,private
13,13,com.google.android.gm,email,none,unknown,default,False,private
14,14,com.whatsapp,unknown,none,education,max,False,private
15,15,com.whatsapp,email,low,unknown,default,False,private
16,16,com.google.android.gm,unknown,none,unknown,default,False,private
17,17,com.google.android.gm,unknown,none,unknown,default,False,private
18,18,com.whatsapp,unknown,low,unknown,default,False,private
19,19,com.google.android.gm,email,none,unknown,default,False,private
20,20,com.google.android.gm,unknown,none,business services,max,False,private
21,21,com.google.android.gm,unknown,none,arts & entertainment,max,False,private
22,22,com.google.android.gm,unknown,none,education,default,False,private
23,23,com.whatsapp,unknown,none,arts & entertainment,default,False,private
24,24,com.google.android.gm,email,none,business services,max,False,private
25,25,com.whatsapp,unknown,low,arts & entertainment,high,False,private
26,26,com.whatsapp,transport,low,unknown,default,False,public
27,27,com.spotify.music,unknown,low,unknown,high,False,private
28,28,com.google.android.gm,unknown,none,business services,max,False,private
29,29,com.whatsapp,unknown,none,arts & entertainment,max,False,private
30,30,com.samsung.android.sm,unknown,none,business services,max,False,private
31,31,com.tinder,unknown,none,unknown,max,False,private
32,32,com.whatsapp,email,low,unknown,default,False,private
33,33,com.whatsapp,unknown,none,unknown,default,False,private
34,34,com.tinder,email,none,unknown,default,False,private
35,35,com.samsung.android.sm,unknown,none,business services,max,False,private
36,36,com.google.android.gm,email,none,unknown,default,False,private
37,37,com.whatsapp,unknown,none,unknown,default,False,private
38,38,com.whatsapp,unknown,low,unknown,default,False,private
39,39,com.whatsapp,unknown,none,unknown,high,False,private
40,40,com.google.android.gm,email,none,unknown,default,False,private
41,41,com.whatsapp,transport,low,unknown,default,False,public
42,42,com.whatsapp,transport,low,unknown,default,False,private
43,43,com.google.android.gm,unknown,none,unknown,max,False,private
44,44,com.whatsapp,unknown,low,unknown,default,False,private
45,45,com.google.android.gm,email,none,unknown,default,False,private
46,46,com.whatsapp,transport,low,unknown,default,False,private
47,47,com.whatsapp,unknown,none,education,default,False,private
48,48,com.whatsapp,unknown,none,arts & entertainment,high,False,private
49,49,com.spotify.music,unknown,low,unknown,default,False,private
50,50,com.tinder,unknown,none,unknown,default,False,private
51,51,com.spotify.music,unknown,none,unknown,default,False,private
52,52,com.google.android.gm,unknown,none,unknown,max,False,private
53,53,com.whatsapp,unknown,none,unknown,default,False,private
54,54,com.whatsapp,transport,low,arts & entertainment,default,False,public
55,55,com.whatsapp,transport,low,unknown,high,False,private
56,56,com.google.android.gm,email,none,unknown,default,False,private
57,57,com.google.android.gm,unknown,none,email & messaging,max,False,private
58,58,com.tinder,unknown,none,business services,max,False,private
59,59,com.google.android.gm,email,none,unknown,max,False,private
60,60,com.whatsapp,transport,low,unknown,default,False,public
61,61,com.whatsapp,unknown,low,unknown,default,False,private
62,62,com.whatsapp,transport,low,unknown,default,False,public
63,63,com.google.android.gm,email,none,unknown,default,False,private
64,64,com.whatsapp,transport,low,unknown,default,False,public
65,65,com.google.android.gm,unknown,none,unknown,default,False,private
66,66,com.whatsapp,email,none,unknown,default,False,private
67,67,com.whatsapp,unknown,low,unknown,default,False,private
68,68,com.whatsapp,transport,low,unknown,high,False,private
69,69,com.google.android.gm,email,none,unknown,default,False,private
70,70,com.whatsapp,unknown,none,unknown,default,False,private
71,71,com.whatsapp,transport,low,unknown,default,False,private
72,72,com.whatsapp,transport,low,unknown,default,False,public
73,73,com.google.android.gm,email,none,unknown,default,False,private
74,74,com.google.android.gm,email,none,unknown,max,False,private
75,75,com.google.android.gm,email,none,email & messaging,default,False,private
76,76,com.google.android.gm,email,none,unknown,max,False,private
77,77,com.google.android.gm,email,none,unknown,default,False,private
78,78,com.google.android.gm,email,none,footwear,default,False,private
79,79,com.whatsapp,unknown,low,unknown,default,False,public
80,80,com.google.android.gm,unknown,none,unknown,default,False,private
81,81,com.whatsapp,email,none,unknown,default,False,private
82,82,com.google.android.gm,email,none,unknown,default,False,private
83,83,com.google.android.gm,unknown,none,unknown,max,False,private
84,84,com.whatsapp,unknown,none,unknown,default,False,private
85,85,com.whatsapp,transport,low,unknown,default,False,public
86,86,com.whatsapp,transport,low,unknown,default,False,public
87,87,com.whatsapp,transport,low,unknown,default,False,private
88,88,com.google.android.gm,email,none,unknown,default,False,private
89,89,com.whatsapp,unknown,none,unknown,default,False,private
90,90,com.google.android.gm,unknown,none,unknown,default,False,private
91,91,com.whatsapp,unknown,none,unknown,default,False,private
92,92,com.whatsapp,transport,low,arts & entertainment,default,False,public
93,93,com.tinder,unknown,none,business services,max,False,private
94,94,com.samsung.android.sm,unknown,none,business services,default,False,private
95,95,com.whatsapp,unknown,none,unknown,default,False,private
96,96,com.whatsapp,transport,low,unknown,default,False,private
97,97,com.whatsapp,unknown,low,unknown,default,False,private
98,98,com.twitter.android,unknown,none,business services,max,False,private
99,99,com.whatsapp,unknown,none,email & messaging,default,False,private
100,100,com.whatsapp,unknown,none,unknown,default,False,private
101,101,com.facebook.katana,unknown,none,business services,max,False,private
102,102,com.whatsapp,transport,low,unknown,default,False,private
103,103,com.google.android.gm,email,none,unknown,default,False,private
104,104,com.google.android.gm,email,none,unknown,default,False,private
105,105,com.whatsapp,unknown,none,unknown,default,False,private
106,106,com.twitter.android,unknown,none,business services,default,False,private
107,107,com.whatsapp,unknown,low,unknown,default,False,private
108,108,com.tinder,unknown,none,unknown,default,False,private
109,109,com.whatsapp,email,none,unknown,default,False,private
110,110,com.whatsapp,transport,low,unknown,default,False,public
111,111,com.whatsapp,transport,low,unknown,default,False,private
112,112,com.whatsapp,unknown,none,unknown,default,False,private
113,113,com.google.android.gm,email,none,unknown,default,False,private
114,114,com.whatsapp,transport,low,unknown,default,False,public
115,115,com.samsung.android.sm,unknown,none,online video,max,False,private
116,116,com.google.android.gm,email,none,unknown,default,False,private
117,117,com.whatsapp,unknown,low,arts & entertainment,default,False,private
118,118,com.twitter.android,unknown,none,unknown,default,False,private
119,119,com.google.android.gm,unknown,none,unknown,default,False,private
120,120,com.whatsapp,unknown,low,unknown,default,False,private
121,121,com.google.android.gm,unknown,none,business services,default,False,private
122,122,com.google.android.gm,unknown,none,unknown,default,False,private
123,123,com.google.android.gm,unknown,none,arts & entertainment,default,False,private
124,124,com.facebook.katana,unknown,none,unknown,default,False,private
125,125,com.whatsapp,email,none,unknown,default,False,private
126,126,com.whatsapp,unknown,low,arts & entertainment,default,False,private
127,127,com.whatsapp,unknown,low,unknown,default,False,private
128,128,com.whatsapp,unknown,low,unknown,default,False,private
129,129,com.google.android.gm,unknown,none,unknown,default,False,private
130,130,com.whatsapp,unknown,none,unknown,default,False,private
131,131,com.whatsapp,unknown,none,unknown,default,False,private
132,132,com.google.android.gm,email,none,unknown,default,False,private
133,133,com.google.android.gm,email,none,unknown,default,False,private
134,134,com.google.android.gm,email,none,unknown,default,False,private
135,135,com.whatsapp,unknown,none,unknown,default,False,private
136,136,com.whatsapp,email,low,unknown,default,False,private
137,137,com.google.android.gm,email,none,unknown,default,False,private
138,138,com.google.android.gm,unknown,none,arts & entertainment,default,False,private
139,139,com.tinder,email,none,unknown,default,False,private
140,140,com.google.android.gm,unknown,none,arts & entertainment,default,False,private
141,141,com.google.android.gm,email,low,unknown,default,False,private
142,142,com.google.android.gm,unknown,none,unknown,default,False,private
143,143,com.tinder,unknown,none,unknown,default,False,private
144,144,com.whatsapp,unknown,low,unknown,default,False,private
145,145,com.whatsapp,unknown,none,unknown,high,False,private
146,146,com.whatsapp,email,none,unknown,default,False,private
147,147,com.whatsapp,unknown,none,unknown,default,False,private
148,148,com.whatsapp,transport,low,unknown,default,False,private
149,149,com.whatsapp,transport,low,unknown,default,False,private
150,150,com.tinder,unknown,none,business services,max,False,private
151,151,com.samsung.android.sm,unknown,none,unknown,default,False,private
152,152,com.google.android.gm,email,none,unknown,default,False,private
153,153,com.google.android.gm,email,none,unknown,default,False,private
154,154,com.whatsapp,transport,low,unknown,default,False,private
155,155,com.tinder,unknown,none,unknown,default,False,private
156,156,com.whatsapp,unknown,none,unknown,max,False,private
157,157,com.whatsapp,unknown,low,unknown,default,False,private
158,158,com.whatsapp,unknown,none,unknown,high,False,private
159,159,com.whatsapp,unknown,none,unknown,high,False,private
160,160,com.whatsapp,transport,low,unknown,high,False,private
161,161,com.whatsapp,unknown,none,unknown,default,False,private
162,162,com.tinder,unknown,none,arts & entertainment,max,False,private
163,163,com.tinder,unknown,none,unknown,default,False,private
164,164,com.android.server.telecom,unknown,none,arts & entertainment,max,False,private
165,165,com.whatsapp,transport,low,unknown,default,False,private
166,166,com.google.android.gm,email,none,unknown,default,False,private
167,167,com.whatsapp,email,none,unknown,default,False,private
168,168,com.tinder,unknown,none,unknown,max,False,private
169,169,com.whatsapp,unknown,none,unknown,default,False,private
