,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,True,False,False,unknown,unknown,unknown
1,1,0,morning,unknown,unknown,low,unknown,True,False,False,med,unknown,unknown
2,2,0,morning,unknown,unknown,unknown,unknown,True,False,False,med,unknown,low
3,3,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,high,True,False,False,unknown,unknown,low
4,4,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,high,False,False,False,med,unknown,unknown
5,5,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
6,6,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,unknown,True,False,False,unknown,unknown,low
7,7,0,morning,unknown,unknown,unknown,unknown,True,False,False,unknown,unknown,unknown
8,8,0,morning,unknown,still,low,high,False,False,False,unknown,unknown,unknown
9,9,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,unknown,False,False,False,unknown,unknown,unknown
10,10,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,unknown,high,False,False,False,unknown,unknown,unknown
11,11,0,morning,unknown,still,unknown,unknown,True,False,False,unknown,unknown,unknown
12,12,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,unknown,high,True,False,False,unknown,unknown,low
13,13,0,morning,unknown,unknown,unknown,unknown,True,False,False,near,unknown,unknown
14,14,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,high,True,False,False,unknown,unknown,unknown
15,15,0,morning,unknown,unknown,low,high,True,False,False,unknown,vibrate,low
16,16,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,high,False,False,False,unknown,unknown,low
17,17,0,morning,unknown,still,unknown,high,False,False,False,unknown,unknown,unknown
18,18,0,morning,unknown,unknown,unknown,unknown,False,False,False,med,vibrate,unknown
19,19,0,morning,unknown,unknown,low,unknown,True,False,False,unknown,unknown,low
20,20,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,low,high,False,False,False,unknown,unknown,unknown
21,21,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,low,high,True,False,False,unknown,unknown,unknown
22,22,0,morning,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,unknown,high,True,False,False,unknown,unknown,unknown
