,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,still,low,high,False,False,False,11.609374,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,2641.483865,vibrate,2629.874491,True,immediate,2019-02-18 06:03:23.682625,2019-02-18 06:47:25.166490
1,1,still,low,high,False,False,False,265.319421,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,3669.868991,vibrate,3404.54957,True,immediate,2019-02-18 06:06:40.171955,2019-02-18 07:07:50.040946
2,2,still,low,high,False,False,False,682.170056,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,3505.029355,vibrate,2822.859299,False,immediate,2019-02-18 06:25:02.543033,2019-02-18 07:23:27.572388
3,3,still,low,high,True,False,False,718.514669,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,756.813232,vibrate,38.298563,True,over a week ago,2019-02-18 06:36:15.308748,2019-02-18 06:48:52.121980
4,4,still,low,high,False,False,False,319.182958,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,2473.473726,vibrate,2154.290768,True,over a week ago,2019-02-18 06:39:50.097868,2019-02-18 07:21:03.571594
5,5,still,low,high,False,False,False,252.877748,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,267.421733,vibrate,14.543985,False,within 24 hours,2019-02-18 06:42:33.485805,2019-02-18 06:47:00.907538
6,6,still,low,high,True,False,False,1718.614459,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,2904.443223,vibrate,1185.828764,True,over a week ago,2019-02-18 06:55:58.381453,2019-02-18 07:44:22.824676
7,7,still,low,low,False,False,False,142.607004,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,158.936474,vibrate,16.32947,True,within hour,2019-02-18 07:52:08.244772,2019-02-18 07:54:47.181246
8,8,still,low,high,False,False,False,1780.974677,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,1837.997142,vibrate,57.022465,False,within last week,2019-02-18 07:54:04.265352,2019-02-18 08:24:42.262494
9,9,still,low,high,False,False,False,1239.860096,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,4200.089489,vibrate,2960.229393,True,immediate,2019-02-18 07:57:42.522702,2019-02-18 09:07:42.612191
