,id,appPackage,category,numberUpdates,subject,priority,ongoing,visibility
0,0,com.google.android.gm,email,medium,education,default,False,private
1,1,com.google.android.gm,email,none,arts & entertainment,default,False,private
2,2,com.google.android.gm,unknown,low,unknown,default,False,private
3,3,com.google.android.gm,email,low,business & industrial,max,False,private
4,4,com.google.android.gm,email,none,online communities,default,False,private
5,5,com.tinder,email,none,unknown,default,False,private
6,6,com.google.android.gm,email,none,unknown,max,False,private
7,7,com.tinder,email,none,unknown,default,False,private
8,8,com.google.android.gm,email,none,education,default,False,private
9,9,com.google.android.gm,email,low,business & industrial,default,False,private
10,10,com.google.android.gm,email,none,unknown,default,False,private
11,11,com.tinder,email,none,education,default,False,private
12,12,com.google.android.gm,email,low,unknown,default,False,private
13,13,com.google.android.gm,email,none,unknown,default,False,private
14,14,com.google.android.gm,email,none,business & industrial,default,False,private
15,15,com.google.android.gm,email,none,computers & electronics,default,False,private
16,16,com.google.android.gm,unknown,low,email & messaging,default,False,private
17,17,com.google.android.gm,email,none,education,default,False,private
18,18,com.google.android.gm,email,low,education,default,False,private
19,19,com.google.android.gm,email,none,email & messaging,default,False,private
20,20,com.google.android.gm,email,none,education,default,False,private
21,21,com.google.android.gm,email,none,air travel,default,False,private
22,22,com.google.android.gm,email,none,online communities,default,False,private
23,23,com.google.android.gm,email,low,business & industrial,default,False,private
24,24,com.google.android.gm,email,none,computers & electronics,max,False,private
25,25,com.google.android.gm,unknown,low,online communities,default,False,private
26,26,com.google.android.gm,email,none,unknown,max,False,private
27,27,com.google.android.gm,email,low,computers & electronics,default,False,private
28,28,com.google.android.gm,email,none,unknown,default,False,private
29,29,com.google.android.gm,email,none,unknown,default,False,private
30,30,com.google.android.gm,email,none,unknown,default,False,private
31,31,com.tinder,email,none,unknown,default,False,private
32,32,com.tinder,email,none,unknown,default,False,private
33,33,com.google.android.gm,email,low,unknown,default,False,private
34,34,com.tinder,email,none,education,default,False,private
35,35,com.google.android.gm,email,high,business services,default,False,private
36,36,com.google.android.gm,email,none,unknown,default,False,private
37,37,com.google.android.gm,email,none,education,default,False,private
38,38,com.google.android.gm,email,low,education,default,False,private
39,39,com.google.android.gm,email,low,unknown,default,False,private
40,40,com.google.android.gm,email,none,unknown,default,False,private
41,41,com.google.android.gm,email,none,business services,default,False,private
42,42,com.google.android.gm,email,none,unknown,default,False,private
43,43,com.google.android.gm,email,none,business & industrial,default,False,private
44,44,com.google.android.gm,email,none,computers & electronics,default,False,private
45,45,com.google.android.gm,email,none,unknown,default,False,private
46,46,com.google.android.gm,unknown,low,unknown,default,False,private
47,47,com.google.android.gm,email,none,air travel,default,False,private
48,48,com.google.android.gm,email,low,unknown,default,False,private
49,49,com.google.android.gm,email,none,education,default,False,private
50,50,com.google.android.gm,email,none,education,default,False,private
51,51,com.google.android.gm,email,low,unknown,default,False,private
52,52,com.google.android.gm,email,none,education,default,False,private
53,53,com.google.android.gm,email,none,business & industrial,default,False,private
54,54,com.google.android.gm,email,low,unknown,default,False,private
55,55,com.google.android.gm,email,none,education,default,False,private
56,56,com.google.android.gm,email,none,unknown,default,False,private
57,57,com.google.android.gm,email,none,unknown,default,False,private
58,58,com.google.android.gm,email,low,unknown,default,False,private
59,59,com.google.android.gm,email,none,unknown,default,False,private
60,60,com.google.android.gm,unknown,none,unknown,default,False,private
61,61,com.google.android.gm,email,none,education,default,False,private
62,62,com.google.android.gm,email,none,education,default,False,private
63,63,com.google.android.gm,email,none,unknown,default,False,private
64,64,com.google.android.gm,email,none,education,default,False,private
65,65,com.google.android.gm,email,none,education,default,False,private
66,66,com.google.android.gm,email,none,unknown,max,False,private
67,67,com.google.android.gm,email,none,unknown,max,False,private
68,68,com.google.android.gm,email,none,unknown,max,False,private
69,69,com.google.android.gm,email,none,unknown,default,False,private
70,70,com.google.android.gm,email,none,unknown,default,False,private
71,71,com.google.android.gm,email,none,unknown,default,False,private
72,72,com.google.android.gm,email,none,education,default,False,private
73,73,com.google.android.gm,email,low,unknown,default,False,private
74,74,com.google.android.gm,email,none,unknown,default,False,private
75,75,com.google.android.gm,email,none,education,default,False,private
76,76,com.google.android.gm,email,none,unknown,default,False,private
77,77,com.google.android.gm,email,low,unknown,default,False,private
78,78,com.google.android.gm,email,none,unknown,default,False,private
79,79,com.google.android.gm,email,low,education,default,False,private
80,80,com.tinder,email,none,unknown,default,False,private
81,81,com.google.android.gm,email,none,unknown,default,False,private
82,82,com.google.android.gm,email,none,unknown,max,False,private
83,83,com.google.android.gm,unknown,low,arts & entertainment,default,False,private
84,84,com.google.android.gm,email,none,education,default,False,private
85,85,com.google.android.gm,email,low,unknown,default,False,private
86,86,com.google.android.gm,email,none,unknown,default,False,private
87,87,com.google.android.gm,email,none,unknown,default,False,private
88,88,com.google.android.gm,email,none,unknown,default,False,private
89,89,com.tinder,email,none,education,default,False,private
90,90,com.google.android.gm,email,low,education,default,False,private
91,91,com.google.android.gm,email,none,unknown,default,False,private
92,92,com.google.android.gm,email,low,unknown,default,False,private
93,93,com.google.android.gm,email,none,unknown,default,False,private
94,94,com.tinder,email,none,unknown,default,False,private
95,95,com.google.android.gm,email,none,business & industrial,default,False,private
96,96,com.google.android.gm,email,none,education,default,False,private
97,97,com.google.android.gm,email,none,unknown,default,False,private
98,98,com.google.android.gm,unknown,low,unknown,default,False,private
99,99,com.google.android.gm,email,none,air travel,default,False,private
100,100,com.tinder,email,none,unknown,default,False,private
