,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,unknown,low,medium,False,False,false,1494.232354,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,near,1517.422791,normal,23.190437,False,over a week ago,2019-02-18 04:55:12.955030,2019-02-18 05:20:30.377821
1,1,unknown,low,medium,False,False,true,212.426146,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,near,234.163786,normal,21.73764,False,over a week ago,2019-02-18 05:29:52.080850,2019-02-18 05:33:46.244636
2,2,unknown,low,medium,False,False,false,1034.304676,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_OTHER TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,far,1072.631917,normal,38.327241,True,within last week,2019-02-18 12:09:27.114008,2019-02-18 12:27:19.745925
3,3,unknown,low,low,False,False,false,14.498047,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,18.91137,normal,4.413323,True,within 24 hours,2019-02-18 12:17:57.958701,2019-02-18 12:18:16.870071
4,4,unknown,low,low,False,False,false,146.477198,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,147.959335,normal,1.482137,True,within last week,2019-02-18 12:21:22.577258,2019-02-18 12:23:50.536593
5,5,unknown,low,medium,False,False,false,107.235004,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,131.85937,normal,24.624366,True,within last week,2019-02-18 13:23:30.142313,2019-02-18 13:25:42.001683
6,6,unknown,low,medium,False,False,false,70786.967086,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,70828.273167,normal,41.306081,True,within 24 hours,2019-02-18 13:55:37.878364,2019-02-19 09:36:06.151531
7,7,still,low,low,False,False,false,1435.562793,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,1466.661273,normal,31.09848,False,over a week ago,2019-02-18 14:10:41.164867,2019-02-18 14:35:07.826140
8,8,unknown,low,medium,False,False,false,14.154754,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,61.468283,normal,47.313529,True,within last week,2019-02-18 14:37:55.521074,2019-02-18 14:38:56.989357
9,9,unknown,low,medium,False,False,false,100.174385,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,near,113.259332,normal,13.084947,True,within last week,2019-02-18 15:10:04.220035,2019-02-18 15:11:57.479367
10,10,unknown,low,medium,False,False,false,1769.84418,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,near,20388.840993,normal,18618.996813,True,within last week,2019-02-18 15:49:00.762062,2019-02-18 21:28:49.603055
11,11,unknown,low,medium,False,False,false,1042.352645,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,1096.6603,normal,54.307655,True,over a week ago,2019-02-18 16:51:22.209241,2019-02-18 17:09:38.869541
12,12,unknown,low,medium,False,False,false,582.290745,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,633.578394,normal,51.287649,True,over a week ago,2019-02-18 20:33:35.324009,2019-02-18 20:44:08.902403
13,13,still,low,medium,False,False,false,38.505457,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,45.815521,normal,7.310064,True,within 24 hours,2019-02-19 12:34:25.213427,2019-02-19 12:35:11.028948
14,14,unknown,low,high,False,False,false,652.582553,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,670.588008,normal,18.005455,True,within last week,2019-02-19 13:45:57.920435,2019-02-19 13:57:08.508443
15,15,unknown,low,high,False,False,false,26041.593512,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,26515.486365,normal,473.892853,True,over a week ago,2019-02-19 15:10:59.303933,2019-02-19 22:32:54.790298
16,16,still,low,medium,False,False,false,1656.036477,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,1659.128373,normal,3.091896,True,over a week ago,2019-02-20 20:11:16.996653,2019-02-20 20:38:56.125026
17,17,still,low,medium,False,False,false,261.610519,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,310.228448,normal,48.617929,True,within 24 hours,2019-02-21 03:53:31.370007,2019-02-21 03:58:41.598455
18,18,unknown,low,high,False,False,false,837.728412,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,841.788694,normal,4.060282,False,over a week ago,2019-02-21 04:27:36.516812,2019-02-21 04:41:38.305506
19,19,unknown,low,high,False,False,false,1298.714678,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,1319.700263,normal,20.985585,False,within 24 hours,2019-02-21 10:27:42.316933,2019-02-21 10:49:42.017196
20,20,still,low,medium,False,False,false,17.752054,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,41.385264,normal,23.63321,False,within 24 hours,2019-02-21 15:10:47.976175,2019-02-21 15:11:29.361439
21,21,still,low,medium,False,False,false,1113.960588,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,1131.179093,normal,17.218505,False,within last week,2019-02-21 16:39:05.564089,2019-02-21 16:57:56.743182
22,22,still,low,medium,False,False,false,164.408353,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,201.269831,normal,36.861478,False,over a week ago,2019-02-21 18:32:13.946578,2019-02-21 18:35:35.216409
23,23,still,low,low,False,False,false,179.252235,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,184.314096,normal,5.061861,True,over a week ago,2019-02-21 18:40:42.121693,2019-02-21 18:43:46.435789
24,24,unknown,low,high,False,False,false,56.29736,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,far,74.206694,normal,17.909334,False,within 24 hours,2019-02-21 18:50:00.569371,2019-02-21 18:51:14.776065
