,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,unknown,still,unknown,high,False,False,False,unknown,unknown,low
1,1,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,high,False,False,False,med,unknown,low
2,2,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,unknown,high,False,False,False,unknown,unknown,low
3,3,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,high,False,False,False,unknown,unknown,low
4,4,0,morning,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
5,5,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,high,False,False,False,unknown,unknown,low
6,6,0,morning,unknown,still,unknown,high,False,False,False,unknown,unknown,low
7,7,0,morning,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
8,8,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,vibrate,low
9,9,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,unknown
10,10,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
11,11,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
12,12,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
13,13,0,afternoon,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,still,unknown,high,False,False,False,unknown,unknown,unknown
14,14,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,unknown,medium,False,False,False,unknown,unknown,low
15,15,0,afternoon,unknown,still,unknown,unknown,False,False,False,unknown,vibrate,unknown
16,16,0,afternoon,unknown,still,unknown,high,False,False,False,unknown,unknown,unknown
17,17,0,afternoon,unknown,still,unknown,high,False,False,False,near,unknown,unknown
18,18,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,vibrate,unknown
19,19,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,low
20,20,0,afternoon,unknown,unknown,unknown,low,False,False,False,unknown,unknown,unknown
21,21,0,afternoon,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,high,False,False,False,unknown,vibrate,unknown
22,22,0,afternoon,unknown,still,unknown,high,False,False,False,unknown,unknown,low
23,23,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,low
24,24,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,unknown,unknown,False,False,False,med,unknown,unknown
25,25,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,unknown
26,26,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,vibrate,low
27,27,0,afternoon,unknown,still,unknown,medium,False,False,False,med,unknown,unknown
28,28,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,low
29,29,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
30,30,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
31,31,0,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,vibrate,unknown
32,32,0,evening,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
33,33,0,evening,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
34,34,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
35,35,0,evening,unknown,unknown,unknown,high,False,False,False,med,unknown,unknown
36,36,0,evening,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,high,False,False,False,med,unknown,low
37,37,0,evening,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
38,38,0,evening,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
39,39,0,evening,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,unknown
40,40,0,evening,unknown,unknown,low,high,False,False,False,med,unknown,unknown
41,41,0,evening,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
42,42,0,evening,unknown,unknown,low,high,False,False,False,unknown,unknown,low
43,43,0,evening,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
44,44,0,evening,unknown,unknown,unknown,high,False,False,False,unknown,vibrate,unknown
45,45,0,evening,unknown,unknown,low,unknown,False,False,False,med,unknown,unknown
46,46,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
47,47,0,night,unknown,still,unknown,unknown,False,False,False,unknown,unknown,low
48,48,0,night,unknown,unknown,unknown,unknown,False,False,False,med,unknown,low
49,49,0,night,unknown,unknown,unknown,high,False,False,False,med,unknown,low
50,50,0,night,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AIRPORT,unknown,unknown,unknown,False,False,False,med,unknown,low
51,51,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
52,52,1,morning,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
53,53,1,morning,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
54,54,1,morning,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
55,55,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
56,56,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
57,57,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
58,58,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,low
59,59,1,morning,unknown,unknown,low,unknown,False,False,False,med,unknown,unknown
60,60,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,low
61,61,1,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,med,unknown,low
62,62,1,morning,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
63,63,1,morning,unknown,still,unknown,unknown,False,False,False,unknown,vibrate,unknown
64,64,1,afternoon,unknown,unknown,unknown,high,True,False,False,unknown,unknown,low
65,65,1,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,still,unknown,medium,False,False,False,unknown,vibrate,low
66,66,1,afternoon,unknown,unknown,unknown,high,False,False,False,unknown,vibrate,low
67,67,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
68,68,1,afternoon,unknown,unknown,unknown,medium,False,False,False,med,unknown,unknown
69,69,1,afternoon,unknown,still,low,unknown,False,False,False,unknown,unknown,unknown
70,70,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,low
71,71,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
72,72,1,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,vibrate,unknown
73,73,1,afternoon,unknown,still,unknown,unknown,False,False,True,unknown,unknown,low
74,74,1,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
75,75,1,evening,unknown,unknown,low,high,False,False,False,med,unknown,unknown
76,76,1,evening,unknown,unknown,unknown,unknown,False,False,False,med,unknown,unknown
77,77,1,evening,unknown,unknown,unknown,high,False,False,False,unknown,unknown,unknown
78,78,1,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
79,79,1,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
80,80,2,morning,unknown,still,unknown,unknown,False,False,False,med,unknown,unknown
81,81,2,morning,unknown,unknown,unknown,high,False,False,False,unknown,unknown,low
82,82,2,morning,unknown,still,unknown,unknown,False,False,False,unknown,unknown,low
83,83,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
84,84,2,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
