,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,still,low,high,True,unknown,false,270.016113,False,low,True,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,706.309014,vibrate,436.292901,False,few mins,2019-02-18 07:54:31.454707,2019-02-18 08:06:17.763721
1,1,still,low,high,True,unknown,unknown,293.033551,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,565.692267,vibrate,272.658716,False,few mins,2019-02-18 08:04:16.914200,2019-02-18 08:13:42.606467
2,2,unknown,low,high,False,false,false,194.791674,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,8865.506258,vibrate,8670.714584,False,within half hour,2019-02-18 08:11:59.307601,2019-02-18 10:39:44.813859
3,3,still,low,high,False,unknown,false,130.176467,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,601.146456,vibrate,470.969989,False,few hours,2019-02-18 08:36:04.248882,2019-02-18 08:46:05.395338
4,4,still,low,high,False,unknown,false,46.248905,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,98.545986,vibrate,52.297081,True,over a week ago,2019-02-18 09:38:22.472897,2019-02-18 09:40:01.018883
5,5,still,low,high,True,unknown,true,175.713732,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,2700.897786,vibrate,2525.184054,False,over a week ago,2019-02-18 09:45:28.437566,2019-02-18 10:30:29.335352
6,6,still,low,high,True,unknown,false,218.115592,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,1157.221255,vibrate,939.105663,False,few mins,2019-02-18 10:53:03.894860,2019-02-18 11:12:21.116115
7,7,still,low,high,False,unknown,false,38.967031,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,70.358639,vibrate,31.391608,False,over a week ago,2019-02-18 11:58:39.421521,2019-02-18 11:59:49.780160
8,8,still,low,high,True,unknown,false,299.687481,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,304.092273,vibrate,4.404792,False,within 24 hours,2019-02-18 12:04:36.474129,2019-02-18 12:09:40.566402
9,9,still,low,high,True,true,unknown,132.170774,False,low,False,TYPE_BAR TYPE_AQUARIUM TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,1812.987653,vibrate,1680.816879,False,over a week ago,2019-02-18 12:04:44.729818,2019-02-18 12:34:57.717471
