,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,early-morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
1,1,0,early-morning,unknown,unknown,low,unknown,False,False,False,near,unknown,unknown
2,2,0,early-morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
3,3,0,early-morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
4,4,0,early-morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
5,5,0,early-morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
6,6,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,low
7,7,0,morning,unknown,unknown,low,low,False,False,False,unknown,unknown,low
8,8,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
9,9,0,morning,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
10,10,0,morning,unknown,unknown,unknown,medium,False,False,False,unknown,vibrate,unknown
11,11,0,morning,unknown,unknown,unknown,unknown,False,False,False,near,unknown,low
12,12,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,low
13,13,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
14,14,0,morning,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
15,15,0,morning,unknown,unknown,low,medium,False,False,False,unknown,unknown,unknown
16,16,0,morning,unknown,unknown,low,medium,False,False,False,unknown,unknown,unknown
17,17,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
18,18,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,unknown,unknown
19,19,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,unknown,low
20,20,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,med,vibrate,unknown
21,21,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,vibrate,low
22,22,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
23,23,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
24,24,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
25,25,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,low
26,26,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
27,27,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
28,28,0,evening,unknown,unknown,low,medium,False,False,False,med,vibrate,unknown
29,29,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
30,30,0,evening,unknown,unknown,low,unknown,False,False,False,med,vibrate,unknown
31,31,0,evening,unknown,unknown,low,medium,False,False,False,med,vibrate,unknown
32,32,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
33,33,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,unknown
34,34,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
35,35,0,evening,unknown,unknown,low,unknown,False,False,False,near,unknown,unknown
36,36,0,evening,unknown,unknown,low,medium,False,False,False,unknown,unknown,unknown
37,37,1,early-morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
38,38,1,early-morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
39,39,1,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
40,40,1,morning,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
41,41,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
42,42,1,morning,unknown,unknown,low,medium,False,False,False,unknown,unknown,low
43,43,1,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
44,44,1,morning,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
45,45,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
46,46,1,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
47,47,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,med,vibrate,unknown
48,48,1,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
49,49,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,unknown,unknown
50,50,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,vibrate,low
51,51,1,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
52,52,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
53,53,1,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
54,54,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
55,55,1,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
