,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,unknown,low,medium,False,unknown,unknown,3117.197464,False,low,False,unknown,med,4331.75382,vibrate,1214.556356,False,over a week ago,2019-02-18 00:13:49.960585,2019-02-18 01:26:01.714405
1,1,unknown,low,low,False,false,unknown,247.03145,False,low,False,unknown,med,3357.711395,normal,3110.679945,True,over a week ago,2019-02-18 00:25:32.727996,2019-02-18 01:21:30.439391
2,2,unknown,low,medium,False,unknown,unknown,176.617975,False,low,False,unknown,med,1834.211204,vibrate,1657.593229,False,over a week ago,2019-02-18 01:36:55.910294,2019-02-18 02:07:30.121498
3,3,unknown,low,high,False,unknown,unknown,163.590715,False,low,False,unknown,med,3601.104534,vibrate,3437.513819,True,within 24 hours,2019-02-18 03:31:25.466973,2019-02-18 04:31:26.571507
4,4,unknown,low,medium,False,unknown,unknown,191.387146,False,low,False,unknown,near,2711.814096,vibrate,2520.42695,False,over a week ago,2019-02-18 04:33:20.494184,2019-02-18 05:18:32.308280
5,5,unknown,low,medium,False,unknown,unknown,2540.203822,False,low,False,unknown,med,3389.029913,vibrate,848.826091,False,within hour,2019-02-18 04:36:20.293080,2019-02-18 05:32:49.322993
6,6,unknown,low,medium,False,unknown,false,143.460674,False,low,False,unknown,med,196.756165,vibrate,53.295491,False,within hour,2019-02-18 06:25:48.712450,2019-02-18 06:29:05.468615
7,7,unknown,low,medium,False,unknown,unknown,281.975289,False,low,False,unknown,med,340.34205,vibrate,58.366761,False,within 24 hours,2019-02-18 06:28:25.301539,2019-02-18 06:34:05.643589
8,8,unknown,low,low,False,false,unknown,98.549785,False,low,False,unknown,med,2310.175848,vibrate,2211.626063,True,over a week ago,2019-02-18 07:49:35.341084,2019-02-18 08:28:05.516932
9,9,unknown,low,low,False,false,unknown,41.516939,False,low,False,unknown,med,1497.875551,vibrate,1456.358612,True,within last week,2019-02-18 08:02:54.632673,2019-02-18 08:27:52.508224
10,10,unknown,low,low,False,false,unknown,46.601682,False,low,False,unknown,med,1030.135813,vibrate,983.534131,True,within hour,2019-02-18 08:21:22.135484,2019-02-18 08:38:32.271297
11,11,unknown,low,medium,False,false,unknown,229.867833,False,low,False,unknown,near,260.238625,normal,30.370792,False,within 24 hours,2019-02-18 09:07:16.555492,2019-02-18 09:11:36.794117
12,12,unknown,low,medium,False,false,unknown,100.715565,False,low,False,unknown,med,121.326582,normal,20.611017,False,within hour,2019-02-18 10:04:48.939863,2019-02-18 10:06:50.266445
13,13,unknown,low,medium,False,unknown,unknown,296.931777,False,low,False,unknown,near,326.678161,vibrate,29.746384,False,over a week ago,2019-02-18 10:28:12.480466,2019-02-18 10:33:39.158627
