,id,day,time,place,activity,noise,batteryLevel,charging,headphonesIn,musicActive,proximity,ringerMode,lightIntensity
0,0,0,morning,unknown,unknown,unknown,unknown,False,False,False,near,unknown,low
1,1,0,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
2,2,0,morning,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
3,3,0,morning,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
4,4,0,morning,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
5,5,0,morning,unknown,unknown,unknown,unknown,False,False,False,near,unknown,low
6,6,0,morning,unknown,unknown,low,unknown,False,False,False,near,unknown,unknown
7,7,0,morning,unknown,unknown,unknown,unknown,False,False,False,near,unknown,unknown
8,8,0,morning,unknown,unknown,medium,unknown,False,False,False,unknown,unknown,unknown
9,9,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
10,10,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
11,11,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
12,12,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,unknown,low
13,13,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
14,14,0,afternoon,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
15,15,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,low
16,16,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,vibrate,unknown
17,17,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,near,unknown,unknown
18,18,0,afternoon,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,low,unknown,False,False,False,unknown,normal,unknown
19,19,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,normal,unknown
20,20,0,afternoon,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
21,21,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,unknown,unknown,unknown,False,False,False,near,unknown,unknown
22,22,0,afternoon,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
23,23,0,evening,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,low
24,24,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
25,25,0,evening,unknown,unknown,unknown,unknown,False,False,False,med,unknown,low
26,26,0,evening,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
27,27,0,evening,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
28,28,0,evening,TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,near,unknown,unknown
29,29,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
30,30,0,evening,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,near,unknown,unknown
31,31,0,evening,unknown,unknown,unknown,unknown,False,False,False,near,unknown,unknown
32,32,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,normal,unknown
33,33,0,evening,unknown,unknown,low,unknown,False,False,False,unknown,unknown,unknown
34,34,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
35,35,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,normal,unknown
36,36,0,evening,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
37,37,0,evening,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,unknown,unknown,unknown,False,False,False,near,unknown,unknown
38,38,0,evening,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
39,39,0,evening,unknown,unknown,unknown,medium,False,False,False,unknown,unknown,unknown
40,40,0,evening,unknown,unknown,unknown,unknown,False,False,False,unknown,unknown,unknown
