,id,activity,noise,batteryLevel,charging,contactSignificantContext,contactSignificantOverall,decisionTime,headphonesIn,lightIntensity,musicActive,place,proximity,responseTime,ringerMode,seenTime,action,timeAppLastUsed,postDate,removedDate
0,0,unknown,low,low,True,False,true,46.006231,False,low,False,unknown,med,1137.561359,vibrate,1091.555128,False,over a week ago,2019-02-18 06:41:45.594000,2019-02-18 07:00:43.155359
1,1,unknown,low,medium,False,False,false,171.374501,False,low,False,unknown,med,221.823676,normal,50.449175,False,within half hour,2019-02-18 07:50:17.334285,2019-02-18 07:53:59.157961
2,2,unknown,low,medium,False,False,true,174.026343,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,3476.554733,normal,3302.52839,True,over a week ago,2019-02-18 08:47:00.344052,2019-02-18 09:44:56.898785
3,3,unknown,low,high,True,True,false,226.397006,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,271.623836,vibrate,45.22683,True,over a week ago,2019-02-18 09:25:21.313456,2019-02-18 09:29:52.937292
4,4,unknown,low,low,False,False,false,1265.865658,False,low,False,TYPE_BAKERY TYPE_BAR TYPE_AMUSEMENT_PARK TYPE_BANK TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,near,1274.539152,normal,8.673494,True,over a week ago,2019-02-18 10:24:55.008807,2019-02-18 10:46:09.547959
5,5,still,low,high,True,True,false,55.373009,False,low,True,TYPE_ATM TYPE_ACCOUNTING TYPE_BANK TYPE_BANK TYPE_BAKERY TYPE_BAR TYPE_AMUSEMENT_PARK TYPE_BANK TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,near,62.140726,vibrate,6.767717,False,over a week ago,2019-02-18 10:29:14.733929,2019-02-18 10:30:16.874655
6,6,unknown,low,medium,False,False,true,44.026727,False,low,False,unknown,med,61.073184,vibrate,17.046457,False,within half hour,2019-02-18 10:37:49.099204,2019-02-18 10:38:50.172388
7,7,unknown,low,high,True,False,false,0.710708,False,low,True,TYPE_ATM TYPE_BAKERY TYPE_BAR TYPE_BAKERY TYPE_BAR TYPE_AMUSEMENT_PARK TYPE_BANK TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,near,112.553025,vibrate,111.842317,False,over a week ago,2019-02-18 10:40:18.663736,2019-02-18 10:42:11.216761
8,8,unknown,low,high,False,False,false,27.437462,False,low,False,TYPE_AIRPORT TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,76.916393,vibrate,49.478931,False,over a week ago,2019-02-18 11:21:02.599115,2019-02-18 11:22:19.515508
9,9,unknown,low,low,True,True,false,219.885163,False,low,True,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,240.252746,normal,20.367583,False,over a week ago,2019-02-18 12:09:26.003948,2019-02-18 12:13:26.256694
10,10,unknown,low,low,False,True,false,32.565679,False,low,False,unknown,med,1048.751823,normal,1016.186144,True,over a week ago,2019-02-18 12:39:16.450682,2019-02-18 12:56:45.202505
11,11,unknown,low,high,True,True,false,157.343934,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,887.430468,normal,730.086534,True,over a week ago,2019-02-18 12:51:54.423378,2019-02-18 13:06:41.853846
12,12,still,low,low,True,False,false,33.09563,False,low,True,TYPE_ATM TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,55.057603,normal,21.961973,False,over a week ago,2019-02-18 13:11:34.960299,2019-02-18 13:12:30.017902
13,13,still,low,low,True,True,false,1553.911994,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,1594.817212,normal,40.905218,False,over a week ago,2019-02-18 13:28:15.997255,2019-02-18 13:54:50.814467
14,14,unknown,low,medium,False,True,true,160.201114,False,low,False,TYPE_ACCOUNTING TYPE_OTHER TYPE_AIRPORT TYPE_ACCOUNTING,med,866.416768,normal,706.215654,False,within half hour,2019-02-18 13:53:17.472473,2019-02-18 14:07:43.889241
15,15,unknown,low,high,True,True,false,23.417597,False,low,False,unknown,med,1701.489834,normal,1678.072237,True,over a week ago,2019-02-18 14:03:38.281396,2019-02-18 14:31:59.771230
16,16,still,low,low,True,False,false,52.980043,False,low,False,unknown,med,84.887818,normal,31.907775,False,over a week ago,2019-02-18 14:09:14.049869,2019-02-18 14:10:38.937687
17,17,unknown,low,low,False,True,true,18.086629,False,low,True,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,23.809848,normal,5.723219,False,within half hour,2019-02-18 14:32:00.145886,2019-02-18 14:32:23.955734
18,18,unknown,low,medium,False,False,false,54.198647,False,low,False,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,99.811886,normal,45.613239,False,within half hour,2019-02-18 15:01:12.674772,2019-02-18 15:02:52.486658
19,19,still,low,high,False,True,false,11.217344,False,low,False,TYPE_ART_GALLERY TYPE_BAR TYPE_ACCOUNTING TYPE_OTHER TYPE_ACCOUNTING TYPE_AMUSEMENT_PARK TYPE_AMUSEMENT_PARK TYPE_AQUARIUM,med,44.826644,normal,33.6093,False,over a week ago,2019-02-18 15:20:05.555964,2019-02-18 15:20:50.382608
